model,val_timestamp,MSE,RMSE,MAPE,sMAPE,MAE,Huber_loss
RNN_1_look48_overlap1,2008-01-01 06:00:00,4152.608301432265,64.4407347989784,56.382646202216534,134.16786828164976,53.402725556691486,52.90446472167969
RNN_1_look48_overlap1,2008-04-01 06:00:00,3064.8592469566815,55.361170931950866,37.270155218058235,104.29785346011909,35.01155327921113,34.52268600463867
RNN_1_look48_overlap1,2008-07-01 06:00:00,51830.829922257224,227.66385291094682,46.665640947926896,111.12941538059171,166.32350496629874,165.82350158691406
RNN_1_look48_overlap1,2008-10-01 06:00:00,36639.033593628476,191.41325344298517,48.65084902626921,133.16302686790294,140.8253979619344,140.3253936767578
RNN_1_look72_overlap1,2008-01-01 06:00:00,20451.163736897313,143.0075653135082,132.60031595352564,149.06147392572043,102.5198254624009,102.02230834960938
RNN_1_look72_overlap1,2008-04-01 06:00:00,2866.448627706475,53.53922513173379,28.59431877841383,101.99772719836709,33.877285883625355,33.37728500366211
RNN_1_look72_overlap1,2008-07-01 06:00:00,46204.312666910475,214.95188453909975,41.847011790831615,106.52739194955956,155.80990955988565,155.3201446533203
RNN_1_look72_overlap1,2008-10-01 06:00:00,27403.26000853686,165.5393004954922,46.242283783677934,129.67115905149754,122.87594600756962,122.37593841552734
RNN_1_look96_overlap1,2008-01-01 06:00:00,3562.4905561725973,59.686602819833844,45.97180961842876,132.7134621149323,54.307156540552775,53.807159423828125
RNN_1_look96_overlap1,2008-04-01 06:00:00,3046.6657163518908,55.196609645447346,29.628481125388085,102.99361051629286,33.06974064084391,32.57686233520508
RNN_1_look96_overlap1,2008-07-01 06:00:00,38768.28772987676,196.89664225140245,45.09489479833742,109.72763106697398,144.58496270895003,144.0849609375
RNN_1_look96_overlap1,2008-10-01 06:00:00,18766.8240062208,136.992058186673,38.61856441489645,123.13159750786336,98.55980938911438,98.059814453125
RNN_1_look48_overlap24,2008-01-01 06:00:00,40542.8388022722,201.35252370475072,95.13086843284245,168.6676120044369,156.6413020825386,156.1413116455078
RNN_1_look48_overlap24,2008-04-01 06:00:00,108707.20462385986,329.7077563902006,107.88019411468228,160.68734725148138,242.1635632748405,241.66357421875
RNN_1_look48_overlap24,2008-07-01 06:00:00,225326.59405845683,474.6857845548535,112.24717285486338,153.4697268066815,345.99426446874935,345.4942626953125
RNN_1_look48_overlap24,2008-10-01 06:00:00,118347.93097339117,344.0173410940082,85.93715212121444,163.12661727880135,249.37935347591838,248.8793487548828
RNN_1_look72_overlap36,2008-01-01 06:00:00,3971.0500409312695,63.01626806572466,55.758545596242904,134.55120676061478,51.409139551321665,50.90913772583008
RNN_1_look72_overlap36,2008-04-01 06:00:00,11559.620844464342,107.51567720320763,41.07196309526292,110.11192145159715,70.91997639704961,70.43001556396484
RNN_1_look72_overlap36,2008-07-01 06:00:00,8456.237022268457,91.95780022525798,33.71501916159715,97.95659134321878,75.7182610142231,75.21826171875
RNN_1_look72_overlap36,2008-10-01 06:00:00,9837.60154660779,99.18468403240387,38.29340795713692,116.30822122878956,69.63463485566899,69.14542388916016
RNN_1_look96_overlap48,2008-01-01 06:00:00,38036.297820636384,195.0289666194137,116.13059197840523,174.62398129974278,149.52398862282436,149.02638244628906
RNN_1_look96_overlap48,2008-04-01 06:00:00,106754.10107313936,326.7324610030956,158.69722616673002,171.02849015013516,241.7781884824733,241.2781982421875
RNN_1_look96_overlap48,2008-07-01 06:00:00,237076.3311870191,486.904848185987,153.53370032660257,164.22314232858682,359.2037696755429,358.7102966308594
RNN_1_look96_overlap48,2008-10-01 06:00:00,122965.02482913161,350.6636919173863,119.18658347344977,174.6455655081356,255.10901701812944,254.6126708984375
RNN_1_look48_overlap48,2008-01-01 06:00:00,32298.19539922693,179.7169869523383,104.96862919163026,172.07162034785404,135.96607869456213,135.46607971191406
RNN_1_look48_overlap48,2008-04-01 06:00:00,104853.75679646283,323.811298129733,142.66586846142246,174.374750237296,237.54468520462513,237.044677734375
RNN_1_look48_overlap48,2008-07-01 06:00:00,241087.23549213304,491.0063497472645,114.55643483559032,166.29561388626104,348.8656835023562,348.3656921386719
RNN_1_look48_overlap48,2008-10-01 06:00:00,121381.54701643503,348.3985462318048,109.60135427291686,175.73900553411494,247.9055692353845,247.40765380859375
RNN_1_look72_overlap72,2008-01-01 06:00:00,32339.668920536118,179.83233558105204,80.79516776486925,164.72894174399713,138.81148450930914,138.3114776611328
RNN_1_look72_overlap72,2008-04-01 06:00:00,102856.72190290778,320.7128340165198,99.5271618511282,159.17998585469684,232.8448893090089,232.3448944091797
RNN_1_look72_overlap72,2008-07-01 06:00:00,222686.81317442353,471.8970366239054,102.46469267420282,151.71609072689083,340.67722504317754,340.1778564453125
RNN_1_look72_overlap72,2008-10-01 06:00:00,113154.94995409746,336.3851214814613,77.58974945630118,160.82374037300758,236.53629404922324,236.0363006591797
RNN_1_look96_overlap96,2008-01-01 06:00:00,36700.16422871313,191.57286923965285,120.55774736575404,176.14966771046676,150.02128681629895,149.5212860107422
RNN_1_look96_overlap96,2008-04-01 06:00:00,106734.52660720126,326.7025047458333,157.35813001598555,172.71808110245016,243.47947664042314,242.97947692871094
RNN_1_look96_overlap96,2008-07-01 06:00:00,235786.03209250802,485.57803913738525,134.25348024912128,163.0962791155743,353.216611917913,352.7165832519531
RNN_1_look96_overlap96,2008-10-01 06:00:00,122985.14974553177,350.6923862098118,106.15814724495574,177.37623207181997,247.04445542726663,246.5444793701172
RNN_2_look48_overlap1,2008-01-01 06:00:00,37415.683390176906,193.43134024810175,189.71967432757035,154.26017767707802,143.02493999789158,142.5249481201172
RNN_2_look48_overlap1,2008-04-01 06:00:00,2859.137677664417,53.47090496395602,28.733340961590276,101.93021615808406,34.31316886872053,33.813167572021484
RNN_2_look48_overlap1,2008-07-01 06:00:00,33288.93048701793,182.45254310920944,47.433042488982466,111.91963613365192,137.50245877797406,137.00283813476562
RNN_2_look48_overlap1,2008-10-01 06:00:00,2286.5719606480247,47.818113311255026,24.85641295553802,109.07109834793178,36.936776124214134,36.44443130493164
