model,val_timestamp,MSE,RMSE,MAPE,sMAPE,MAE,Huber_loss
RNN_2_look48_overlap48,2008-01-01 06:00:00,26444.55364013895,162.61781464568682,92.7868878354312,180.36552273937107,119.22629626949629,118.7262954711914
RNN_2_look48_overlap48,2008-04-01 06:00:00,100298.73117548722,316.6997492507489,108.8567624613304,169.01235487706802,240.08190500219663,239.5819091796875
RNN_2_look48_overlap48,2008-07-01 06:00:00,230618.9581617541,480.2280272555467,110.19916375867986,165.1834364493239,359.04010164697974,358.5401306152344
RNN_2_look48_overlap48,2008-10-01 06:00:00,115971.3280794216,340.54563288848914,91.21203297466293,171.71245976043707,244.7562466123079,244.25624084472656
GRU_1_look72_overlap36,2008-01-01 06:00:00,1224.0452667766265,34.98635829543604,32.81595549433901,130.76593942587914,25.519621705139674,25.026016235351562
GRU_1_look72_overlap36,2008-04-01 06:00:00,4799.373636112597,69.27751176328864,32.50274256366185,103.15838025519825,41.85246675600609,41.35246658325195
GRU_1_look72_overlap36,2008-07-01 06:00:00,3217.7676874725644,56.72537075658972,19.177516125493174,84.33067034438895,42.75619055951635,42.258262634277344
GRU_1_look72_overlap36,2008-10-01 06:00:00,1484.764262744724,38.5326389278586,25.1925693401403,108.39400241420441,25.670647509892785,25.17064666748047
